,Players,Base Price,TYPE,COST IN ₹ (CR.),Cost IN $ (000),2023 Squad,Team
0,Spencer Johnson,5000000,BOWLER,10.0,1200.0,Not Mentioned,Gujrat Titans
1,Shahrukh Khan,4000000,ALL-ROUNDER,7.4,888.0,PBKS,Gujrat Titans
2,Umesh Yadav,20000000,BOWLER,5.8,696.0,KKR,Gujrat Titans
3,Robin Minz,2000000,WICKETKEEPER,3.6,432.0,Not Mentioned,Gujrat Titans
4,Sushant Mishra,2000000,BOWLER,2.2,264.0,Not Mentioned,Gujrat Titans
5,Kartik Tyagi,2000000,BOWLER,0.6,72.0,SRH,Gujrat Titans
6,Azmatullah Omarzai,5000000,ALL-ROUNDER,0.5,60.0,Not Mentioned,Gujrat Titans
7,Manav Suthar,2000000,BOWLER,0.2,24.0,Not Mentioned,Gujrat Titans
8,David Miller,Retained,UNKNOWN,0.0,0.0,Not Mentioned,Gujrat Titans
9,Shubman Gill,Retained,UNKNOWN,0.0,0.0,Not Mentioned,Gujrat Titans
10,Matthew Wade,Retained,UNKNOWN,0.0,0.0,Not Mentioned,Gujrat Titans
11,Wriddhiman Saha,Retained,UNKNOWN,0.0,0.0,Not Mentioned,Gujrat Titans
12,Kane Williamson,Retained,UNKNOWN,0.0,0.0,Not Mentioned,Gujrat Titans
13,Abhinav Manohar,Retained,UNKNOWN,0.0,0.0,Not Mentioned,Gujrat Titans
14,B. Sai Sudharsan,Retained,UNKNOWN,0.0,0.0,Not Mentioned,Gujrat Titans
15,Darshan Nalkande,Retained,UNKNOWN,0.0,0.0,Not Mentioned,Gujrat Titans
16,Vijay Shankar,Retained,UNKNOWN,0.0,0.0,Not Mentioned,Gujrat Titans
17,Jayant Yadav,Retained,UNKNOWN,0.0,0.0,Not Mentioned,Gujrat Titans
18,Rahul Tewatia,Retained,UNKNOWN,0.0,0.0,Not Mentioned,Gujrat Titans
19,Mohammed Shami,Retained,UNKNOWN,0.0,0.0,Not Mentioned,Gujrat Titans
20,Noor Ahmad,Retained,UNKNOWN,0.0,0.0,Not Mentioned,Gujrat Titans
